"","text","b"
"1","cheeky little morsel review ride supper manchester sea follow twitter more bite size reviews rmoviecritic",-1
"2","manchester sea terribly sad film interspersed light jovial moments fit quite naturally performances affleck truly brilliant actor hedges sparse slow dark moving odd music",1
"3","making way head shaft long hard road series link full ub ub ufef ub ufef ub ufef ub ufef",-1
"4","fortress stars man wife are nabbed emigration point sent futuristic prison",-1
"5","new blur collection update video am ovie room tour",1
"6","feel need more blood soaked revenge horror thrillers where awful men get deserve luckily revenge is hitting theaters friday",-1
"7","new video week shades freed review",1
"8","veere di wedding review",0
"9","wants revenge insiang reviewed review",-1
"10","mouth madness stars investigator discovers strange impact horror writers books have readers",-1
"11","nightmare elm street dream child movie review stoned gremlin productions",-1
"12","overboard movie review",0
"13","little girl lives lane movie review goodbadflicks",0
"14","clue movie review moviebitches",0
"15","toxic avenger part last temptation toxie stars superhero unemployed due low crime rate is hired talents shady corporation",-1
"16","review tickled documentary tickling competitions",1
"17","new avatars suck rmoviecritic",1
"18","human centipede ii full sequence",0
"19","did love too head",1
"20","guys let decide spend money watching movie cinema click",1
"21","new episode",1
"22","count tuesday movie pick when future african king marries english woman not live start family home country",1
"23","truth dare typical american teens went vacation type movies story line bit slow predictable",1
"24","movie review avengers spoilers",0
"25","avengers infinity war",1
"26","time having turned young man discovers s inherited rare family condition ability travel back time",1
"27","am so glad was not great idea badly executed great use sound camera shots dull moments",-1
"28","director ryan coogler rmoviecritic",1
"29","check",0
"30","breaking official trailer family reaction review",-1
"31","drowning pool bluray review",-1
"32","mary witchs flower is charming anime debut studio ponoc heres review",1
"33","check review infinity war here",1
"34","get selena movie",0
"35","god s not dead light darkness review rmoviecritic",1
"36","is back baby director faceoff killer hard boiled returns asian action cinema lengthy foray chinese historical epics",-1
"37","heres full magnificent obsession",1
"38","avengers infinity war",1
"39","john woos new film manhunt has everything people love woo s acrobatic gunplay ludicrous melodrama doves",1
"40","love heartstring plucker told believable protagonist highlights emotional subject humour style great soundtrack as well",1
"41","am glad report viewing was as enjoyable st lots ponder absorb noticed more nuances here is more reaction really st watch",1
"42","episodes is going be tomorrow have spoilers non spoilers version episode be tomorrow",0
"43","truth dare was boring lacking real substance predictable plot minimal scares ue",-1
"44","saw while ago full photos",0
"45","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you you",1
"46","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you you",1
"47","film review lean pete odyssey american heartland",1
"48","gets loved",1
"49","just watched is visually unique tonally uncomfortable world do not know how feel",-1
"50","think highschool musical serves mask reality kids watched first place now have rewatched looks more fiction rather nonfiction is hilariously misleading sort made good movie",-1
"51","movie buffs here is list movies afford miss read feel free add recommendations comments section",1
"52","first movie is boring characters do not have wants needs only obligations chitauri look aliens galaxy quest battle new york feels strenuous watch stick",-1
"53","f uf uc uf f uf uc uf f uf uc uf f uf uc uf was actually very good movie worth watching knew was now wish i did hes amazing movie alternative go see movie also deserves theater chance real",1
"54","revisits s animated film newest review",1
"55","game night see",0
"56","list funny comedy movies comedy films worth checking out click here view collection",1
"57","thor ragnarok sarcastic witty edition mcu sets infinity war",1
"58","avengers infinity war",1
"59","avengers infinity war lingering questions lingering answers",-1
"60","said saw bad samaritan tonight enjoyed psychological thrillers is good unnecessary gore very satisfying ending",1
"61","minute podcast goes live twitch get real nitpicky are full spoilers so be warned come tell thought flick twitch",-1
"62","avengers infinity war spoiler discussion",-1
"63","did marvels marketing department ruin infinity war rmoviecritic",-1
"64","avengers infinity war spoiler discussion rmoviecritic",-1
"65","sneak peek latest mini part original",-1
"66","quick revised viewing score adult minds otherwise storyline different justice league crossover instead building motherbox time is metal glove gems doing well not pass",1
"67","superhero",0
"68","are young movie review",1
"69","are young movie review",1
"70","quintessentialist are young movie review",1
"71","come come is clown week athorrors",1
"72","new justice league do not care heroes assemble save mankind",-1
"73","love movies podcasts then why not subscribe movie reviewing podcast stay date future episodes",1
"74","love movies podcasts then why not subscribe movie reviewing podcast links stay date future episodes",1
"75","has returned is reviewing",0
"76","do choose",0
"77","featuring most terrifying creatures ever put screen baseballcooking hybrid is laughaminute joy fest heart scares right places",0
"78","avengers infinity war stars spoilers hidden",-1
"79","avengers infinity war stars spoilers hidden",-1
"80","working review avengers war agree cap looks much better beard",1
"81","f uf ue way movie worried be few goosebumps following life career hat keep toasty am sure goosebumps remain",-1
"82","need know st cannes film festival",1
"83","westworld season episode review",0
"84","is f uf ud f uf ue uac f uf ue uac f uf ud stay uptodate movies hitting theaters weekend pm est f uf f uf uba f uf ud ubf",-1
"85","fourth kind movie review",1
"86","retweet love starring s favorite sofia coppola film",1
"87","is such fun movie great group characters so entertaining",1
"88","check movie review click link bio",0
"89","have decided take look back take walk wild side feel free see f uf ua f uf uaf f uf ua ua f uf ua uf ube f uf ub f uf you",1
"90","stacys web log has got going howling review rmoviecritic",0
"91","part ii polish poster",0
"92","be releasing third episode s weekly movie review show be sure check",0
"93","kids be monsters full ub ub ufef ub ufef ub ufef",0
"94","have seen yet did think love hear think have written non spoiler review here loved did not",-1
"95","best movies netflix",1
"96","is awesome movie one most beautiful movie great work creativity art",1
"97","week watched check let know agree disagree",0
"98","new episode ep i been watchin damien riley podcast website",1
"99","check film starring f uf",0
"100","want post infinity war review time when spoilers heat does down done video",1
"101","bfoundapen just published review moonlight",0
"102","wondering why watch not doesn t have young actor has brought ignored theme life",-1
"103","looking forward applications",1
"104","john woos manhunt review man guns doves returns rmoviecritic",0
"105","feral movie review horror show",-1
"106","trouble is business movie review",-1
"107","coming attractions",1
"108","savage vengeance stars woman was repeatedly molested plots revenge",-1
"109","were interested seeing sade walks kyle entire movie tries explain why was so bad entire spoiler review",-1
"110","planet terror stars bioweapon is released turns thousands zombies",-1
"111","john woo director faceoff killer hard boiled returns asian action cinema new movie manhunt",1
"112","tully is latest diablo codyjason reitman teamup starring charlize story motherhood deserves more earned weekend check full review",1
"113","new web log launched f uf ua movie review avengers f uf ub ub spoiler warning ua ufef link bio f uf ua f uf uf ubc ud f uf",-1
"114","i spit grave",-1
"115","happy monday tune picture lock live radioarlington now live stream",1
"116","week directors cut i break polarizing filmography iconic visual story teller tim burton join live wednesday pm est",-1
"117","check shock waves movie review please subscribe",1
"118","is love life great work uc ufef year old uc ufef f uf ue is",1
"119","latest yeah tnt suspensethrillers want see david tennant reach Network Interface Card cage levels crazy is movie",-1
"120","garden sos help sort bombshell garden",1
"121","f uf ua f uf ue ualisten bonus stagetekkenbv smb podcast available stitcher",1
"122","vampire clay movie review geek legion doom",-1
"123","smb podcast is keeping toes mack checks tekken blood vengeancebased popular video game series f uf ue banging intro music f uf ue ub",1
"124","check movie review black panther film",-1
"125","finally saw damn movie hear new episode have seen go check",1
"126","plot is weaker kanyes grip social history f uf you",-1
"127","tully is uncomfortable sad watch still funny",-1
"128","quick movie review week",1
"129","cold prey stars woman survived mass murder once again face assailer",-1
"130","did think season ep review discuss other television shows sade also tries walk kyle new movie bad samaritan listen favorite podcasting application link bio",1
"131","is raw look difficulties motherhood instead superficial fantasty see why gets stars weeks review sponsored",-1
"132","be going see tonight stay tuned",0
"133","review wolf children is live beautiful movie heart wrenching story i highly recommend",1
"134","collection stars survivor booby trapped maze hunts assailer",-1
"135","week s movie review monday is tully check video things know then read full review line apple news link",0
"136","allen produced chappaquiddick breathes new life kennedy scandal",-1
"137","pacific rim is up youtube channel check",0
"138","need find movie starring nicky whelan rmoviecritic",0
"139","tully stars charlize theron stressed mother",0
"140","not very organized",-1
"141","sometimes movie review moviecore",0
"142","crucified lovers beautiful bit lacking",1
"143","bogart grahame together lonely place rmoviecritic",-1
"144","have seen let talk",1
"145","review wacky propaganda flick invisible agent",-1
"146","lego do not care comics super heroes flash ai",-1
"147","forgetting sarah marshall is up youtube channel check",0
"148","film review lean pete odyssey american heartland",1
"149","am back new movie review is",1
"150","asian movie enthusiast jailbreak cambodian movie review",1
"151","join episode continues new film bad samaritan join conversation give listen",1
"152","avengers is up youtube channel check",0
"153","fear night",-1
"154","saw avengers war other day was shocking surprise i was really speechless overwhelmed incredible story characters t wait you",-1
"155","is got nothing check filled tie worst noises",-1
"156","chuck jos e discuss avengers infinity war rd avengers series culmination years storytelling",1
"157","parable reality matrix reloaded years",0
"158","avengers age ultron is up youtube channel check",0
"159","do agree review caption read join conversation review",1
"160","missed as theater denial normal t pass up other digital viewing is man",-1
"161","avengers infinity war nonspoiler review rmoviecritic",1
"162","saving mr banks is youtube channel check",1
"163","last jedi sexism social justice tropes rmoviecritic",1
"164","is getting better age",1
"165","top american film s closest looking sounding actual anime film",1
"166","watch movie walwal regal films june cinemas nationwide also visit subscribe channel full scenes movie",1
"167","based novel same name author musician vlautin lean pete centres perennially shy charley teen living single father ever declining pacific northwest",-1
"168","havent seen am curious why way have seen did think love know reason not watching",-1
"169","heres full",0
"170","feel pretty is uk cinemas now check review here",1
"171","f uf ua uaf ever see do not expect was truly",-1
"172","big b chintu reunite deliver classic",1
"173","movie review american animals boys film full video",0
"174","marion advanced screening tully thanks",1
"175","movie review beast starring jessie buckley geraldine james",-1
"176","pyramid review",0
"177","not out is sweet touching is living read not movie review published",-1
"178","manhunt utterly offthewall best possible way",1
"179","review mr right starring kendrick sam rockwell",1
"180","manhunt utterly offthewall best possible way",1
"181","movie goers here havent watched here is think watch course there is part where mention why",0
"182","just say film sensitive subject leaving crushing impression opinion here",-1
"183","review minor understandable cultural missteps is touching hilarious bold visually stunning stopmotion animation nonetheless",1
"184","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you you",1
"185","excellent cinematic experience featuring best villains franchise has ever had great character work spectacular action you you",1
"186","is week are talking purchases much much more check",0
"187","review picture perfect nollycritics follow link enjoy review beautiful comedy film",1
"188","brother baru tgok black panther tadi brother plot dia agak lemah standalone story effect is decent be more improved humor wise is good scriptwriting oke jela decent yet unimpressive superhero movie you",1
"189","review robovampire eastern horror classic rmoviecritic",-1
"190","movies cars written kiel murray bob peterson mike rich directed brian fee f uf uc uae f uf uc uae f uf uc uae tacos leaps bounds better cars still shows why is weakest pixar franchise",1
"191","is lighthearted full life piece read review",1
"192","unsane is up youtube channel check",0
"193","gets funny",1
"194","live long hearts people have look",0
"195","traffik brilliant film produced starring exposes evils human trafficing f uf ud f uf uf ubd f uf ud f uf uf",-1
"196","chuck jos e discuss avengers infinity war rd avengers series culmination years storytelling",1
"197","harry potter chamber secrets wizards collection movie review ratings kids",0
"198","saw weekend was okay i wanted more more exciting deaths was still happy side note new gourmet popcorn was amazing",1
"199","teen paheliyan disappoints times",-1
"200","just saw dunkirk first time was really good mean was be expected christopher nolan directed is different war movies i have seen leave suspense highly recommend",1
"201","review",0
"202","movie reviews crew rmoviecritic",0
"203","isle dogs is up youtube channel check",0
"204","make laugh cry feel razorsharp brilliant performances dark comedy realistic drama",1
"205","tishnagi movie review times india storya software engineer honest cop cross paths tackle spate murders seem be work psychotic killer",-1
"206","thoughts ghost story check web log",-1
"207","saw work again wanted work visit movies week go see too catch dhtg",1
"208","check avengers infinity war",1
"209","netflix review podcast super rmoviecritic",1
"210","i uploaded new episode avengers movie minute",1
"211","nonspoiler new movie is up",1
"212","quiet place was incredibly intense film made even more so silence big screen close tight camera work adore cleverness unique movie delivered spoiler free review",1
"213","review santhosh s iamk extracts few laughs",1
"214","shah shahids biggest cinematic event last years is up now site",0
"215","pacific rim uprising is up youtube channel check",-1
"216","did leave speechless check trangs review",-1
"217","is killer b check",-1
"218","free review",1
"219","yatterman movie review asian filmist",0
"220","are trying do twist was confusing unnecessary say least everything was great up",-1
"221","hang review star wars stars star wars return jedi",-1
"222","have new movie review episode week talking about",1
"223","want hear full spoiler reviews check latest episode sceneit movie reviews",-1
"224","suffered avengers war movie was okay kind",-1
"225","misguided ambitious australian independent crime drama rmoviecritic",-1
"226","need movie critic reviews purely entertainment value is movie entertaining is story well presented is acting average are only things need know",1
"227","watching week netflix i am minutes nothing had happened Totally Agree bland movie remind better things do",1
"228","ready player is up youtube channel check",1
"229","eternal sunshine spotless mind hardhitting emotional beautiful",1
"230","drivein osiris child",1
"231","eighth wonder",1
"232","latest review is now thanks i got change take look independent film misguided",-1
"233","feel pretty movie review amy schumers feel pretty is less convincing",1
"234","just finished shooting roundtable discussion video iw thanks everyone sent comments do have pink walls editing now video go live later tonight tomorrow morning",1
"235","solis strangers prey night spoilers",-1
"236","new today talk gorefest known feast",1
"237","have seen only imagine yet havent check",0
"238","quiet place is up youtube channel check",1
"239","else watched bud dying was almost enough push serial killing career be honest i am usually bad social interaction away",-1
"240","deep blue sea review is read is fans",1
"241","feel pretty was pretty cute feelgood message",1
"242","week",0
"243","nature war philosophy nearly years hit big screen terrence malick s contemplative epic is still engaging powerful anchored beautiful s visceral score",1
"244","never hike alone movie review",1
"245","animal house movie review stoned gremlin productions",-1
"246","karate kid movie review michael mercy",1
"247","overboard movie review jay vaters",0
"248","avengers war movie review rmoviecritic",-1
"249","s clapper relies too much characters lack tech media experience propel plot when something man does not know how google suspension disbelief immediately gets d",-1
"250","is new movie worth watch check do not forget subscribe please",1
"251","isle dogs",0
"252","bunch baddies are forced team together baddie fight bigger baddie baddie brother batman not be bothered movie won oscar",-1
"253","new official options",1
"254","have seen infinity wars heres review robin penny warning are spoilers need therapy",-1
"255","here is review i not spoil anything am sure heard is sad f uf f uf is really good give go watch",1
"256","chappaquiddick is up youtube channel check",0
"257","newest reviews rmoviecritic",0
"258","episode cinescape magazine podcast movie review break steven spielbergs adaptation ernest clines mega hit pop culture novel ready player",1
"259","updated review page",0
"260","is debut feature is quite impressive definitely watch",1
"261","learn drive movie",1
"262","gehenna where death lives",-1
"263","so stays top weekend upset numbers is phenomenal cast i think everyone is still going make sure catch opinions show",1
"264","audrey hepburn finney are road movie be way more famous rmoviecritic",1
"265","isle dogs film review wes best rmoviecritic",1
"266","beirut is up youtube channel check",0
"267","trouble is business",-1
"268","how are feeling dealing depression alcoholism anxiety when sun is",-1
"269","busy making review amazing movie was way different i expected",1
"270","ready player movie review panel marta move podcast dinky dana pittsburgh retro gaming convention",1
"271","birthday short",1
"272","come back more movie review horror show",-1
"273","disobedience movie review lc screen talk",-1
"274","quiet place movie review channel awesome",1
"275","get carter movie review film brain",0
"276","anonymous movie review hyperdrive",0
"277","happy birthday movie review bloodbath",1
"278","rider expanded new total theaters weekend made total platform release is best year so seek opens",1
"279","have been hard work fresh redesign rebrand web log please head check follow new instagram twitter profiles",1
"280","disobedience expanded theaters took trouble is be watching local theaters",-1
"281","are live director spotlight tune",1
"282","remember other marvel movie opened way back february black panther is still crushing made mil week new domestic total mil hit mil milestone",-1
"283","tully opened weekend disappointing mil theaters nationwide positive reviews charlize not get people see",-1
"284","rampage rounded box office top mil week new domestic total mil worldwide is now just shy tripling mil budget mil total",1
"285","feel pretty had pretty hold week dropping mil domestic total is now mil mil budget is going need help",1
"286","queen damned stars vampire awakens queen kind stirs underworld community",-1
"287","quiet place slipped quiet mil week box office hit horrorthriller is now up staggering mil domestic mil worldwide",-1
"288","overboard delivered expectations weekend solid mil second place sink swim next week",0
"289","saw years christopher lee wants look wicker man rmoviecritic",0
"290","maze runner death cure movie review putting cap yeah plague",-1
"291","worst movie have ever seen is planet dinosaurs i guess say is so bad is good tries be serious ends being laughs want watch shitty movie planet dinosaurs is top pick",1
"292","new review",1
"293","rampage is up youtube channel check",-1
"294","please let know think not just review film is sexist is feminist is relevant world let know",1
"295","documentary was unexpected inspiring find",1
"296","promised i watched shot caller last night politely i guess is guys movie had agent talked taking minor role movie i fire",1
"297","superheroes have seen yet did think love hear think have written non spoiler review here loved did not",-1
"298","ghost stories weak endings price",-1
"299","evil movie review horror show",-1
"300","overboard movie review stoned gremlin productions",-1
"301","tully movie review movie couple",0
"302","overboard movie review lc screen talk",1
